0,1,2,3,4
Intiön vesitorni,4dc6ba77b0fb5556cd104c7b,65.01581069143054,25.496102571487427,Scenic Lookout
Intiönkankaan leikkipuisto,4ddf5146c65bb5e319cf2c71,65.01619306666667,25.505201866666667,Playground
Intiön koirapuisto,4d8af59326a36ea8704affad,65.01540199412274,25.505534607832814,Dog Run
Athene,51a20506498e9de81a242e83,65.01469725019417,25.434736108741124,Boat or Ferry
S/Y Omppu,516e5dd2b0ed34d949df61f9,65.01482053624473,25.437340736389157,Boat or Ferry
Teatteriravintola Toinen Kerros,5024f752e4b0103438a35cf9,65.01506199068426,25.462466609599485,Restaurant
Oulun teatteri,4bc469a02a89ef3b9136f688,65.0145464,25.4627165,Theater
Pokkisenpuisto,4c3892cc1e06d13a1eeb773e,65.01519971701913,25.46889722058037,Park
Madetojanpuisto,4ddbd171d4c009d3c5910b62,65.01496625390641,25.470207738183777,Park
Kulttuuritalo Valve,4c7a4a86a86837040b37134d,65.01429266012416,25.470554901293454,Art Gallery
Franzénin puisto,4c4ae00b9c8d2d7f0e09276a,65.01522634347884,25.47359831669784,Park
Hagia Sofia,5029ea148055bcd858f2a02f,65.01463138756864,25.47423893001559,Turkish Restaurant
Kitchen & Bar Oula,563cc188cd10e8b13cf02ace,65.01524736107513,25.476580783724785,Scandinavian Restaurant
Lapland Hotel,562cb4b4498ee3bd9bd68ded,65.0152639070929,25.476751491912,Hotel
Fressi,4b71b064f964a52052562de3,65.01469593069316,25.479837219240547,Gym / Fitness Center
Kiikelinpuisto,4de51038d4c0704405a9b294,65.01331144192343,25.45946359634399,Park
Torinranta,4f859c21e4b0f1893715d2ea,65.01377840109464,25.46366304009372,Plaza
Kauppatorin Kahvilamakasiini,4c1bc63063750f474d72b567,65.01361677700213,25.463036553758695,Bar
Oulun tori,4c132bb782a3c9b6ce23fbf8,65.01367852677079,25.4642915725708,Plaza
Ravintola Uleåborg 1881,4bbefd8582a2ef3bce122cd2,65.01343886904012,25.46268642789507,Scandinavian Restaurant
Restaurant Bar Suola-Aitta,4c4b47af46240f47f62b1df3,65.01388566028777,25.4652619943205,Pub
Pannukakkutalo,4bcd65748920b7130fb39fdc,65.01316923544933,25.462439355717734,Creperie
Keltainen Aitta,4bc469292a89ef3bdd35f688,65.01354195941461,25.46508464622455,Pub
Beijing,4bdd6b4a645e0f4716726b19,65.01356641006244,25.465406149488434,Chinese Restaurant
Petrellin Saluuna,4bf6f52113aed13a6287eaf7,65.01387060729452,25.466268571659175,Sports Bar
Ravintola Hugo,4c60243c1e5cd13aa4faa0ed,65.0137550683561,25.4659318675141,French Restaurant
Uusi Seurahuone,4be3a801f07b0f4781b6f843,65.0137661982068,25.466509634389336,Restaurant
Toripolliisi,4e7b39381838baac2b21da43,65.01328775342803,25.4651523613441,Gastropub
Oulun kauppahalli,4c04c23e3846b713354dd7a3,65.0131719386869,25.464632922753047,Farmers Market
Kolo,557990e8498e4837eec5eb37,65.01364377988126,25.468169956568893,Café
Cafe Kruda,50d1b85ae4b050235f712e96,65.01356256802885,25.468236383295007,Café
Olimpos,4b601e5cf964a52064d629e3,65.013504,25.46786,Mediterranean Restaurant
M6 Dining,54131de9498eaf769b57a56d,65.01345617455335,25.468417645125438,Burger Joint
Kathmandu,55325f0a498e56b57327fea1,65.01333921286268,25.46883242376737,Indian Restaurant
Viinibaari Vox,4cfaad6cc6cca35d44d48732,65.01322457403836,25.46932982467117,Wine Bar
Hai Long,4bcff2b677b29c74b1078a82,65.01411905872816,25.476100213390755,Chinese Restaurant
Partioaitta,4db82ed193a04a7c307a83c7,65.01318954119431,25.472000663129254,Sporting Goods Shop
