0,1,2,3
Pirkanmaan Hammaslääkäriasema Oy,61.50055509999999,23.7590092,Dentist's Office
Pirkanmaan Hammaslääkärikeskus,61.50041849045838,23.759229260344924,Dentist's Office
Sol Pesula,61.50055850462642,23.75890782640785,Laundry Service
Qvanto,61.50050862304205,23.75898108126879,Clothing Store
Ravintola Ziberia,61.500668442351966,23.759778095123057,Bar
Tampereen Kaupunginarkisto,61.49990738418226,23.759153030321205,Non-Profit
Frenckellin sisäpihan Viinikylä,61.50051213638562,23.760887629554173,Wine Bar
Tampereen Teatteri (Frenckell-näyttämö),61.500769822604965,23.760806770127353,Theater
Restaurant Frenckell & Piha,61.49992,23.760096,Cafeteria
Tampereen Frenckel,61.500579,23.760469,Building
Frenckellinaukio 2,61.50033252179069,23.760587090241,Government Building
hsm saunat,61.5006291022223,23.761089547310398,Sauna / Steam Room
Tampereen seudun joukkoliikenne palvelupiste,61.5000338801612,23.759561376020777,Tourist Information Center
Patosilta,61.500369661067985,23.76237334830019,Canal Lock
Hämeenpuiston vesiputous,61.50052865274906,23.76247345033862,Castle
Moreenia Ympäristökeskus,61.5006741089267,23.763072212812784,Government Building
Sato,61.5005,23.7622,Office
Töissä,61.500249545013055,23.762467748419436,Building
Tammerinpuisto,61.50036963619587,23.76581879694524,Park
Trattoria Tammerin puisto,61.50078942089663,23.76511807793382,Italian Restaurant
Teknillisen Seuran kabinetti,61.500383,23.76515,Event Space
Pilvilinna,61.500432978992805,23.76476226176008,Student Center
Luokka B2,61.500226172823574,23.76449633663448,College Science Building
voiluoja...,61.50019073486328,23.764257431030273,Building
ресторан,61.500698,23.765221,Distillery
Cumuluksen Kisakatsomo,61.50035251453213,23.76382164265815,Hockey Rink
Mummulla ja Vaarilla <:,61.50019836425781,23.763904571533203,Residential Building (Apartment / Condo)
Kiinteistötoimi,61.500144958496094,23.763635635375977,Building
Ronganpuisto,61.50025996185378,23.768491744995117,Plaza
Rongankatu,61.500450464943356,23.768120654890446,Road
Tammerkosken Kukka ja Hautauspalvelu,61.50019454956055,23.766674041748047,Flower Shop
Tampereen Vohvelikahvila,61.50065718887398,23.766976614367174,Café
Hotel Tammer Suihkulähde,61.50045910443739,23.765737804683198,Park
Galleria Ronga,61.5004237795131,23.766732215881348,Art Gallery
Grannyz,61.50045587918461,23.76645852746707,Residential Building (Apartment / Condo)
Ojakatu,61.500171608745426,23.766890800522862,Road
Hopeapajun puisto,61.500521,23.765584,Park
Parturi-Kampaamo Pääkonttori,61.50042321547165,23.767195850512923,Salon / Barbershop
Tampereen Sähkö,61.50070000333945,23.766899099049482,Furniture / Home Store
Tin Tin,61.500681,23.767136,Salon / Barbershop
Sprayluukku,61.500692959066434,23.767068613290363,Arts & Crafts Store
Kasvisravintola Gopal,61.50030141619202,23.76862557447148,Vegetarian / Vegan Restaurant
M Room,61.50015781308193,23.768561438615695,Salon / Barbershop
Bläki,61.50029948058873,23.76820828368103,Salon / Barbershop
Lotus Garden,61.50031961355249,23.76884040356782,Chinese Restaurant
Hiusstudio Pia Laitila,61.50035984145257,23.76805151717592,Salon / Barbershop
Muruset,61.500213,23.768344,Flea Market
Kaupunkilähetys Ry,61.500466,23.769005,Spiritual Center
Memory Time Pizzeria,61.50014627432893,23.767319243485144,Pizza Place
Janikan Tampereen kämppä,61.50064,23.767709,Residential Building (Apartment / Condo)
Jeiman Ja Jorbanan Palace,61.500275,23.768134,Residential Building (Apartment / Condo)
Ravintola Joones,61.50014614609427,23.767402508941622,Fast Food Restaurant
Marella,61.50014628722724,23.76751354093776,Salon / Barbershop
Hot Dog King,61.5003793010164,23.769062674307754,Food Truck
Hautaustoimisto Viitanen,61.500505688019274,23.769264221191406,Funeral Home
sanni's,61.500698,23.76775,Assisted Living
